participant_id,group,expertise_level,trust_in_ai,learning_rate,attention_span,mental_model_accuracy,knowledge,num_interactions,intervention_count
treatment_novice_1,treatment,novice,0.935,0.05375161328340004,0.7687573295922798,0.40511718552614445,"{'feature_importance': 0.14464214762976457, 'confidence_score': 0.4847335068759767, 'uncertainty_estimate': 0.5159772662620415, 'model_mechanism': 1.0, 'model_limitations': 0.11738776652588323, 'feature_correlations': 0.08438436393705409}",65,42
treatment_novice_2,treatment,novice,1.0,0.12580329321550437,0.7066339924209659,0.5389009392963849,"{'feature_importance': 0.1397675301373297, 'confidence_score': 1.0, 'uncertainty_estimate': 0.5604042680954258, 'model_mechanism': 1.0, 'model_limitations': 0.21785313677518175, 'feature_correlations': 0.16188609133556534}",65,37
treatment_novice_3,treatment,novice,0.935,0.15472090924823406,0.785062629129498,0.512234086239567,"{'feature_importance': 0.13109589996235632, 'confidence_score': 1.0, 'uncertainty_estimate': 0.5058176380757132, 'model_mechanism': 1.0, 'model_limitations': 0.11934327536669281, 'feature_correlations': 0.16949887326949198}",65,33
treatment_novice_4,treatment,novice,1.0,0.1594597680040727,0.8340570228636751,0.5694283946331751,"{'feature_importance': 0.29462315279587414, 'confidence_score': 1.0, 'uncertainty_estimate': 0.5485701674842863, 'model_mechanism': 1.0, 'model_limitations': 0.22370395047284922, 'feature_correlations': 0.17234138006215546}",65,32
treatment_novice_5,treatment,novice,1.0,0.05687365754834933,0.7569745689128866,0.3583319194777102,"{'feature_importance': 0.20552316703631032, 'confidence_score': 0.32482544523200163, 'uncertainty_estimate': 0.5029838262097194, 'model_mechanism': 0.7707502320234211, 'model_limitations': 0.15559472062201843, 'feature_correlations': 0.12713688885288005}",65,43
treatment_novice_6,treatment,novice,1.0,0.08142605461572316,0.7667444555122783,0.49704781473189286,"{'feature_importance': 0.28733091754249884, 'confidence_score': 0.8518728447432022, 'uncertainty_estimate': 0.5274572178631779, 'model_mechanism': 0.8238250992557866, 'model_limitations': 0.24582535959006985, 'feature_correlations': 0.032680498752385684}",65,35
treatment_novice_7,treatment,novice,1.0,0.14599996397811393,0.8392374359436615,0.48234182049683977,"{'feature_importance': 0.23692285019797493, 'confidence_score': 0.9767203602687375, 'uncertainty_estimate': 0.5969670006191027, 'model_mechanism': 0.6529847333424929, 'model_limitations': 0.10642004878080756, 'feature_correlations': 0.06309060961181638}",65,23
treatment_novice_8,treatment,novice,0.8049999999999999,0.1914364571502582,0.9190919066181672,0.5346940888451891,"{'feature_importance': 0.1629355761596956, 'confidence_score': 1.0, 'uncertainty_estimate': 0.590219073528335, 'model_mechanism': 1.0, 'model_limitations': 0.19177037051747978, 'feature_correlations': 0.052976033299610495}",65,23
treatment_novice_9,treatment,novice,1.0,0.0894112412784403,0.8461464975558851,0.48995055788534736,"{'feature_importance': 0.3310530678537115, 'confidence_score': 0.7701661453799177, 'uncertainty_estimate': 0.5472248348389829, 'model_mechanism': 0.854385141447034, 'model_limitations': 0.20190525873529291, 'feature_correlations': 0.01818188243475878}",65,30
treatment_intermediate_1,treatment,intermediate,0.8500000000000002,0.14411690625546353,0.898019841090741,0.6799965143820993,"{'feature_importance': 0.4844319933599368, 'confidence_score': 1.0, 'uncertainty_estimate': 0.5390755890243273, 'model_mechanism': 1.0, 'model_limitations': 0.5058228690198274, 'feature_correlations': 0.49421567552272366}",65,21
treatment_intermediate_2,treatment,intermediate,0.9500000000000001,0.15810827290402923,0.8704275922566437,0.5974138413139765,"{'feature_importance': 0.5073940660817591, 'confidence_score': 1.0, 'uncertainty_estimate': 0.5281923597159617, 'model_mechanism': 0.5211941633851664, 'model_limitations': 0.486953050133821, 'feature_correlations': 0.3907447412658413}",65,16
treatment_intermediate_3,treatment,intermediate,0.9500000000000001,0.08950835761266362,0.8251465282625745,0.6169919626154028,"{'feature_importance': 0.4357303761060263, 'confidence_score': 1.0, 'uncertainty_estimate': 0.5741037139673534, 'model_mechanism': 0.6245150368398882, 'model_limitations': 0.527789898973201, 'feature_correlations': 0.4217940422876345}",65,14
treatment_intermediate_4,treatment,intermediate,1.0,0.13090685451794387,0.8946566196576395,0.6693551894862235,"{'feature_importance': 0.5060707344390355, 'confidence_score': 1.0, 'uncertainty_estimate': 0.5397541339476747, 'model_mechanism': 0.8316187984298614, 'model_limitations': 0.5858197232529234, 'feature_correlations': 0.4757443755646369}",65,19
treatment_intermediate_5,treatment,intermediate,0.8500000000000005,0.05868877497412814,0.9195023998010101,0.6352705417578166,"{'feature_importance': 0.5893898890595988, 'confidence_score': 0.8385313572341463, 'uncertainty_estimate': 0.5331972253395555, 'model_mechanism': 0.7660806259153318, 'model_limitations': 0.5521204330514463, 'feature_correlations': 0.4531668858613976}",65,24
treatment_intermediate_6,treatment,intermediate,1.0,0.1324705390242416,0.7662641572350147,0.6832274590811988,"{'feature_importance': 0.5744866082170514, 'confidence_score': 0.9882638021408192, 'uncertainty_estimate': 0.5237821183456574, 'model_mechanism': 1.0, 'model_limitations': 0.5459862138179952, 'feature_correlations': 0.3402302126779392}",65,17
treatment_intermediate_7,treatment,intermediate,1.0,0.14748170864591803,0.809525020978626,0.6244194006679249,"{'feature_importance': 0.5035151682071182, 'confidence_score': 0.7718763889673174, 'uncertainty_estimate': 0.5354476651369464, 'model_mechanism': 1.0, 'model_limitations': 0.5176617436914467, 'feature_correlations': 0.3460229465193154}",65,21
