participant_id,trial_id,group,complexity,true_condition,ai_diagnosis,user_decision,ai_correct,user_correct,confidence,uncertainty,misunderstanding_detected,misunderstanding_type,intervention_type,helpfulness,understanding_improved,mental_model_accuracy,decision_time,confusion_level
treatment_novice_1,62,treatment,complex,Parkinson's Disease,Parkinson's Disease,Multiple Sclerosis,True,False,0.7420425007142736,medium,False,,none,0.0,False,0.19326724599316314,37.24380409669738,6.173339892390496
treatment_novice_1,17,treatment,medium,Asthma,Asthma,Asthma,True,True,0.7837353605809794,medium,True,repeated_queries,simplified_explanation,8.320565237726523,False,0.20038607279582787,39.499470447357375,5.5224009084746735
treatment_novice_1,12,treatment,simple,Parkinson's Disease,Parkinson's Disease,Multiple Sclerosis,True,False,0.7191206449863549,medium,True,repeated_queries,analogies,7.879646071167533,False,0.20592143447967343,20.175934567803424,5.7127763421993585
treatment_novice_1,37,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.8092750101775716,low,True,prolonged_hesitation,simplified_explanation,8.298997920161762,False,0.21332061866020857,45.5028025455973,5.818205290948995
treatment_novice_1,21,treatment,medium,Diabetes Type 2,Diabetes Type 2,Chronic Kidney Disease,True,False,0.8012131534742662,low,True,repeated_queries,micro_learning,8.214055213808098,False,0.21737360931379063,29.239709586878245,5.882902963137596
treatment_novice_1,45,treatment,complex,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.8054698779953212,low,True,prolonged_hesitation,micro_learning,8.349994349436253,False,0.2235056259677649,45.891475318598395,4.653497527542569
treatment_novice_1,41,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.7986876918683393,medium,True,repeated_queries,simplified_explanation,1.4648355188332145,False,0.2250056259677649,39.9031724396969,5.570971525100844
treatment_novice_1,50,treatment,complex,Diabetes Type 2,Chronic Kidney Disease,Chronic Kidney Disease,False,False,0.6023069138173939,high,True,ignoring_uncertainty,analogies,8.132542282025696,False,0.2330617201565374,47.10092757354775,6.077456816095092
treatment_novice_1,22,treatment,medium,Asthma,Asthma,Asthma,True,True,0.7757173495334457,medium,True,repeated_queries,analogies,8.079576824022553,False,0.2379427129791675,33.44544338195909,5.935448325267185
treatment_novice_1,30,treatment,medium,Chronic Kidney Disease,Chronic Kidney Disease,Heart Failure,True,False,0.6250009634767021,high,True,ignoring_uncertainty,visualizations,8.323546082750628,False,0.24515625592015944,30.63590594015731,7.576112098680512
treatment_novice_1,2,treatment,simple,Pneumonia,Chronic Obstructive Pulmonary Disease,Pneumonia,False,True,0.5173616275821348,high,False,,none,0.0,False,0.24515625592015944,24.51932218382768,6.2366019152723
treatment_novice_1,42,treatment,complex,Heart Failure,Heart Failure,Pneumonia,True,False,0.5833560580972714,high,True,ignoring_uncertainty,analogies,8.383194633291955,False,0.25190055670021233,46.66141266394136,6.263959309440034
treatment_novice_1,24,treatment,medium,Osteoporosis,Osteoporosis,Osteoporosis,True,True,0.6581811273120626,medium,True,repeated_queries,simplified_explanation,9.131045314493024,False,0.2573281723810494,28.37480961063731,5.548793405843251
treatment_novice_1,36,treatment,complex,Diabetes Type 2,Diabetes Type 2,Chronic Kidney Disease,True,False,0.6556897138342568,medium,True,repeated_queries,simplified_explanation,9.693393567920635,False,0.2625964478315319,39.54316439128978,4.253585394190042
treatment_novice_1,35,treatment,medium,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.7946218241967946,medium,False,,none,0.0,False,0.2625964478315319,28.632255725422947,4.8218180279099485
treatment_novice_1,55,treatment,complex,Chronic Kidney Disease,Diabetes Type 2,Chronic Kidney Disease,False,True,0.5517109885224482,high,True,ignoring_uncertainty,micro_learning,7.935098915719583,False,0.26851937666968545,41.57182729059332,5.216213772194215
treatment_novice_1,13,treatment,simple,Asthma,Asthma,Asthma,True,True,0.6831725143303282,medium,False,,none,0.0,False,0.26851937666968545,19.62109331061474,4.988188005887137
treatment_novice_1,59,treatment,complex,Osteoporosis,Rheumatoid Arthritis,Rheumatoid Arthritis,False,False,0.5,high,True,ignoring_uncertainty,micro_learning,7.87764085514294,False,0.2750455790393597,34.99019398951659,5.98163795110389
treatment_novice_1,58,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.5840345837755054,high,True,ignoring_uncertainty,contrastive_explanation,7.681929260250637,False,0.2795344638606607,34.87609186105285,6.364392004806928
treatment_novice_1,61,treatment,complex,Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arthritis,True,True,0.7628621460458764,medium,True,repeated_queries,interactive_qa,7.833075829333259,False,0.28436054115793136,35.58345307972265,4.500847558726646
treatment_novice_1,16,treatment,medium,Asthma,Asthma,Asthma,True,True,0.7910985178865759,medium,True,repeated_queries,interactive_qa,7.81341773684324,False,0.28954670771075075,25.09573918619356,5.692735418688473
treatment_novice_1,47,treatment,complex,Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arthritis,True,True,0.6045889409656412,high,True,repeated_queries,contrastive_explanation,7.614428278308198,False,0.2937796833157366,31.94561884125643,5.976359937528258
treatment_novice_1,52,treatment,complex,Asthma,Asthma,Asthma,True,True,0.600590770524312,high,True,ignoring_uncertainty,visualizations,9.044595634028536,False,0.2998910272943528,41.22704342675383,6.748264254599173
treatment_novice_1,63,treatment,complex,Osteoporosis,Osteoporosis,Osteoporosis,True,True,0.8369950509863214,low,True,repeated_queries,micro_learning,8.570448953497856,False,0.3054267976458943,22.22772000972318,4.026889924699849
treatment_novice_1,31,treatment,medium,Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arthritis,True,True,0.7044940402246666,medium,True,repeated_queries,micro_learning,8.5951632933145,False,0.30960525062363214,25.43452247796584,5.344873423001899
treatment_novice_1,9,treatment,simple,Osteoporosis,Osteoporosis,Osteoporosis,True,True,0.6425621446163288,high,True,repeated_queries,analogies,8.364555700960102,False,0.3149461539455565,16.5230185767971,6.334782668741864
treatment_novice_1,51,treatment,complex,Diabetes Type 2,Diabetes Type 2,Diabetes Type 2,True,True,0.7210844931643088,medium,True,repeated_queries,micro_learning,7.573120831242721,False,0.31952373966788933,24.85844388892815,5.686726341499217
treatment_novice_1,5,treatment,simple,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.7000233710711932,medium,False,,none,0.0,False,0.31952373966788933,13.140727743328432,4.779373733006155
treatment_novice_1,25,treatment,medium,Asthma,Asthma,Asthma,True,True,0.7984868157872127,medium,True,repeated_queries,simplified_explanation,9.452646386290274,True,0.32717901182685644,25.54712741051984,5.227099128196291
treatment_novice_1,65,treatment,complex,Chronic Kidney Disease,Chronic Kidney Disease,Chronic Kidney Disease,True,True,0.766420033688892,medium,True,prolonged_hesitation,micro_learning,8.002183405533184,False,0.3328652230323176,29.462214501713454,4.17606028948886
