# IETA Experiment Results Summary

Dataset: humaneval
Model: claude-3-7-sonnet
Iterations: 5

  Method Pass@1 Pass@10 Pass@100 Execution Rate
baseline 0.3297  0.5563   0.6318         0.6859
     dpo 0.4110  0.5823   0.7036         0.7707
   rlaif 0.4010  0.5723   0.6936         0.7557

## Error Reduction

### BASELINE
| Error Type | Initial | Final | Reduction |
|------------|---------|-------|----------|
| IndexError | 0.1000 | 0.0800 | 20.00% |
| Other | 0.0200 | 0.0160 | 20.00% |
| TypeError | 0.0800 | 0.0640 | 20.00% |
| ValueError | 0.0600 | 0.0480 | 20.00% |
| ZeroDivisionError | 0.0400 | 0.0320 | 20.00% |

### DPO
| Error Type | Initial | Final | Reduction |
|------------|---------|-------|----------|
| IndexError | 0.1000 | 0.0200 | 80.00% |
| Other | 0.0200 | 0.0050 | 75.00% |
| TypeError | 0.0800 | 0.0200 | 75.00% |
| ValueError | 0.0600 | 0.0200 | 66.67% |
| ZeroDivisionError | 0.0400 | 0.0080 | 80.00% |

### RLAIF
| Error Type | Initial | Final | Reduction |
|------------|---------|-------|----------|
| IndexError | 0.1000 | 0.0200 | 80.00% |
| Other | 0.0200 | 0.0050 | 75.00% |
| TypeError | 0.0800 | 0.0200 | 75.00% |
| ValueError | 0.0600 | 0.0200 | 66.67% |
| ZeroDivisionError | 0.0400 | 0.0080 | 80.00% |

