model,epoch,train_loss,val_loss,train_acc,val_acc
baseline,1,0.6879589557647705,0.6862009167671204,0.56625,0.56
baseline,2,0.6824595332145691,0.6807571053504944,0.59375,0.605
baseline,3,0.6770561337471008,0.6753976345062256,0.62125,0.635
baseline,4,0.6717389822006226,0.6701219081878662,0.635,0.655
baseline,5,0.6665018200874329,0.6649200320243835,0.63875,0.675
baseline,6,0.6613385081291199,0.6597965955734253,0.6575,0.685
baseline,7,0.6562424898147583,0.6547384262084961,0.665,0.71
baseline,8,0.6512097120285034,0.6497460603713989,0.67875,0.72
baseline,9,0.6462414264678955,0.6448203325271606,0.6925,0.71
baseline,10,0.6413294076919556,0.6399535536766052,0.7025,0.725
proposed,1,0.7092617750167847,0.6924394369125366,0.4925,0.515
proposed,2,0.7036612033843994,0.6877278089523315,0.51125,0.535
proposed,3,0.7004739046096802,0.6831498742103577,0.49875,0.54
proposed,4,0.6934717893600464,0.6786799430847168,0.51375,0.545
proposed,5,0.6919233798980713,0.6743156313896179,0.52875,0.57
proposed,6,0.677298903465271,0.6700575351715088,0.58625,0.59
proposed,7,0.679408609867096,0.6658586263656616,0.5625,0.61
proposed,8,0.675602912902832,0.6617411375045776,0.55625,0.62
proposed,9,0.6726362705230713,0.6576976776123047,0.58125,0.625
proposed,10,0.6651393175125122,0.6537110209465027,0.60125,0.645
